number,name,imageUrl,rarity,attr_country,attr_series,attr_matchup,attr_set,attr_year
001,Lionel Messi,,RARE,Argentina,Golden Baller,,Base Collection,2026
002,Vinícius Júnior,,RARE,Brazil,Golden Baller,,Base Collection,2026
003,Mohamed Salah,,RARE,Egypt,Golden Baller,,Base Collection,2026
004,Harry Kane,,RARE,England,Golden Baller,,Base Collection,2026
005,Kylian Mbappé,,RARE,France,Golden Baller,,Base Collection,2026
006,Heung-min Son,,RARE,Korea Republic,Golden Baller,,Base Collection,2026
007,Erling Haaland,,RARE,Norway,Golden Baller,,Base Collection,2026
008,Cristiano Ronaldo,,RARE,Portugal,Golden Baller,,Base Collection,2026
009,Lamine Yamal,,RARE,Spain,Golden Baller,,Base Collection,2026
010,Rayan Aït-Nouri,,SPECIAL 1,Algeria,Fan Favourite,,Base Collection,2026
011,Team Crest,,SPECIAL 2,Algeria,Team Crest,,Base Collection,2026
012,Riyad Mahrez,,SPECIAL 1,Algeria,Icon,,Base Collection,2026
013,Alexis Guendouz,,CORE,Algeria,Hero,,Base Collection,2026
014,Ramy Bensebaini,,CORE,Algeria,Hero,,Base Collection,2026
015,Youcef Atal,,CORE,Algeria,Hero,,Base Collection,2026
016,Aïssa Mandi,,CORE,Algeria,Hero,,Base Collection,2026
017,Nabil Bentaleb,,CORE,Algeria,Hero,,Base Collection,2026
018,Saïd Benrahma,,CORE,Algeria,Hero,,Base Collection,2026
019,Amine Gouiri,,CORE,Algeria,Hero,,Base Collection,2026
020,Mohamed Amoura,,CORE,Algeria,Hero,,Base Collection,2026
021,Baghdad Bounedjah,,CORE,Algeria,Hero,,Base Collection,2026
022,Julián Álvarez,,SPECIAL 1,Argentina,Fan Favourite,,Base Collection,2026
023,Team Crest,,SPECIAL 2,Argentina,Team Crest,,Base Collection,2026
024,Lionel Messi,,SPECIAL 1,Argentina,Icon,,Base Collection,2026
025,Emiliano Martínez,,CORE,Argentina,Hero,,Base Collection,2026
026,Nahuel Molina,,CORE,Argentina,Hero,,Base Collection,2026
027,Cristian Romero,,CORE,Argentina,Hero,,Base Collection,2026
028,Nicolás Otamendi,,CORE,Argentina,Hero,,Base Collection,2026
029,Enzo Fernández,,CORE,Argentina,Hero,,Base Collection,2026
030,Alexis Mac Allister,,CORE,Argentina,Hero,,Base Collection,2026
031,Rodrigo De Paul,,CORE,Argentina,Hero,,Base Collection,2026
032,Giuliano Simeone,,CORE,Argentina,Hero,,Base Collection,2026
033,Lautaro Martínez,,CORE,Argentina,Hero,,Base Collection,2026
034,Harry Souttar,,SPECIAL 1,Australia,Fan Favourite,,Base Collection,2026
035,Team Crest,,SPECIAL 2,Australia,Team Crest,,Base Collection,2026
036,Mathew Ryan,,SPECIAL 1,Australia,Icon,,Base Collection,2026
037,Alessandro Circati,,CORE,Australia,Hero,,Base Collection,2026
038,Jordan Bos,,CORE,Australia,Hero,,Base Collection,2026
039,Lewis Miller,,CORE,Australia,Hero,,Base Collection,2026
040,Miloš Degenek,,CORE,Australia,Hero,,Base Collection,2026
041,Jackson Irvine,,CORE,Australia,Hero,,Base Collection,2026
042,Riley McGree,,CORE,Australia,Hero,,Base Collection,2026
043,Aiden O'Neill,,CORE,Australia,Hero,,Base Collection,2026
044,Connor Metcalfe,,CORE,Australia,Hero,,Base Collection,2026
045,Craig Goodwin,,CORE,Australia,Hero,,Base Collection,2026
046,Marko Arnautović,,SPECIAL 1,Austria,Fan Favourite,,Base Collection,2026
047,Team Crest,,SPECIAL 2,Austria,Team Crest,,Base Collection,2026
048,David Alaba,,SPECIAL 1,Austria,Icon,,Base Collection,2026
049,Alexander Schlager,,CORE,Austria,Hero,,Base Collection,2026
050,Kevin Danso,,CORE,Austria,Hero,,Base Collection,2026
051,Philipp Lienhart,,CORE,Austria,Hero,,Base Collection,2026
052,Konrad Laimer,,CORE,Austria,Hero,,Base Collection,2026
053,Nicolas Seiwald,,CORE,Austria,Hero,,Base Collection,2026
054,Marcel Sabitzer,,CORE,Austria,Hero,,Base Collection,2026
055,Florian Grillitsch,,CORE,Austria,Hero,,Base Collection,2026
056,Christoph Baumgartner,,CORE,Austria,Hero,,Base Collection,2026
057,Michael Gregoritsch,,CORE,Austria,Hero,,Base Collection,2026
058,Youri Tielemans,,SPECIAL 1,Belgium,Fan Favourite,,Base Collection,2026
059,Team Crest,,SPECIAL 2,Belgium,Team Crest,,Base Collection,2026
060,Kevin De Bruyne,,SPECIAL 1,Belgium,Icon,,Base Collection,2026
061,Thibaut Courtois,,CORE,Belgium,Hero,,Base Collection,2026
062,Arthur Theate,,CORE,Belgium,Hero,,Base Collection,2026
063,Timothy Castagne,,CORE,Belgium,Hero,,Base Collection,2026
064,Maxim De Cuyper,,CORE,Belgium,Hero,,Base Collection,2026
065,Amadou Onana,,CORE,Belgium,Hero,,Base Collection,2026
066,Jérémy Doku,,CORE,Belgium,Hero,,Base Collection,2026
067,Charles De Ketelaere,,CORE,Belgium,Hero,,Base Collection,2026
068,Leandro Trossard,,CORE,Belgium,Hero,,Base Collection,2026
069,Romelu Lukaku,,CORE,Belgium,Hero,,Base Collection,2026
070,Marquinhos,,SPECIAL 1,Brazil,Fan Favourite,,Base Collection,2026
