number,name,imageUrl,rarity,attr_country,attr_team_code,attr_group,attr_type,attr_set,attr_year
00,Panini Logo,,,,FWC,,Special,Official Sticker Collection,2026
FWC 1,Official Emblem 1/2,,,,FWC,,Special,Official Sticker Collection,2026
FWC 2,Official Emblem 2/2,,,,FWC,,Special,Official Sticker Collection,2026
FWC 3,Official Mascots,,,,FWC,,Special,Official Sticker Collection,2026
FWC 4,Official Slogan,,,,FWC,,Special,Official Sticker Collection,2026
FWC 5,Official Ball,,,,FWC,,Special,Official Sticker Collection,2026
FWC 6,Canada,,,,FWC,,Special,Official Sticker Collection,2026
FWC 7,Mexico,,,,FWC,,Special,Official Sticker Collection,2026
FWC 8,USA,,,,FWC,,Special,Official Sticker Collection,2026
MEX 1,Emblem,,,Mexico,MEX,A,Emblem,Official Sticker Collection,2026
MEX 2,Luis Malagón,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 3,Johan Vasquez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 4,Jorge Sánchez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 5,Cesar Montes,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 6,Jesus Gallardo,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 7,Israel Reyes,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 8,Diego Lainez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 9,Carlos Rodriguez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 10,Edson Alvarez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 11,Orbelin Pineda,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 12,Marcel Ruiz,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 13,Team Photo,,,Mexico,MEX,A,Team Photo,Official Sticker Collection,2026
MEX 14,Érick Sánchez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 15,Hirving Lozano,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 16,Santiago Giménez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 17,Raúl Jiménez,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 18,Alexis Vega,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 19,Roberto Alvarado,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
MEX 20,Cesar Huerta,,,Mexico,MEX,A,Player,Official Sticker Collection,2026
RSA 1,Emblem,,,South Africa,RSA,A,Emblem,Official Sticker Collection,2026
RSA 2,Ronwen Williams,,,South Africa,RSA,A,Player,Official Sticker Collection,2026
